,price,address,house_type,bedroom
0,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Concorde House 
 Concorde Way
Stockton-On-Tees
TS18 3RB ",Terraced,×3
1,"£32,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","106, York Road,
Hartlepool,
TS26 9DE",Flat,×2
2,"£70,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.",Suite 7 First Floor Cranmore Drive Shirley Solihull B90 4RZ,End of Terrace,×2
3,"£300,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","59 High Street,
Yarm,
TS15 9BH",Bungalow,×3
4,"£130,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","101 Westgate,
Guisborough,
TS14 6AF",Terraced,×3
5,"£300,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","3, Harper Parade, Darlington Road, Hartburn, Stockton on Tees, TS18 5EQ",Bungalow,×3
6,"£75,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","106, York Road,
Hartlepool,
TS26 9DE",Terraced,×3
7,"£244,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Durham Lane,
Eaglescliffe,
TS16",Semi-Detached,×3
8,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","144 
High Street
Eston
Middlesbrough
TS6 9EN ",Semi-Detached,×3
9,"£175,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","101 Westgate,
Guisborough,
TS14 6AF",Semi-Detached,×2
10,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4A High Street,
Norton,
Stockton-On-Tees,
TS20 1DN",Town House,×3
11,"£200,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4a Station Street,
Saltburn-By-The-Sea,
TS12 1AE",Detached Villa,×2
12,"£230,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stokesley Road,
Marton-In-Cleveland,
Middlesbrough
TS7 8DX",Detached,×3
13,"£260,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","20 Bishop Street,
Stockton-On-Tees,
TS18 1SY",×4,Freehold
14,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","114 
Linthorpe Road
Middlesbrough
TS1 2JR ",Flat,×2
15,"£70,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","17
High Street
Stockton-On-Tees
TS18 1SP",Flat,×2
16,"£200,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stokesley Road,
Marton-In-Cleveland,
Middlesbrough
TS7 8DX",Semi-Detached,×4
17,"£50,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stokesley Road,
Marton-In-Cleveland,
Middlesbrough
TS7 8DX",Terraced,×2
18,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","95 Guisborough Road,
Nunthorpe,
Middlesbrough,
TS7 0JS",Semi-Detached,×3
19,"£60,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","38 High Street,
Bawtry,
DN10 6JE",End of Terrace,×2
20,"£237,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Stokesley Road,
Marton-In-Cleveland,
Middlesbrough
TS7 8DX",Detached,×3
